whitepaper_url,Project_name
https://www.cazplus.com/pdfs/CazPlus%20WP.pdf,CazPlus_info
https://www.emjac.io/assets/docs/emjac_wp-english.pdf,Emjac_info
https://gbckorea.co.kr/wp-content/uploads/2019/04/WhitePaper_ENG_7.pdf,GBC KOREA_info
,Coinxes_info
https://cryptococktailcoin.io/wp-content/uploads/2018/08/CCC.pdf,CryptoCocktail Coin
https://assets.ctfassets.net/sdlntm3tthp6/4g5pw2qjOUQQoOAusY1zgB/cfff51e7e663f1e908a52f3728dd8cdb/BNC-Token-White-Paper-v1.1-EN.pdf,BNC Token
https://mydogdata.com/pdf/DogdataLitewhitepaper.pdf,DogData
https://crypto-franchise.io/wp-content/uploads/2019/05/cryptofranchise_whitepaperv2.pdf,cryptoFranchise_info
https://token.guider.travel/WP_EN.pdf,Guider_info
https://images.fxempire.com/ico/whitepaper/dusk-whitepaper.pdf,Dusk Network
https://mecacoin.io/whitepaper/MECACoin%20WhitePaper_Eng_1.0.pdf,MECA Coin
https://www.sessia.com/stasic/doc/wp_eng-2018.compressed.pdf,SESSIA
https://www.swace.io/downloads/Swace_Whitepaper.pdf,Swace_info
https://drive.google.com/file/d/1B6sUaeh6WH7EBeg_xJOBWEmGeAiz0xGo/view,PUBLISH_info
https://drive.google.com/open?id=1Dc1xflobhYOPLCgR8CCB6fpMyPW7cQ5N,Coinshare
https://octera.io/docs/OCTERA%20CIBBS%C2%A9%20Whitepaper%20EN.pdf,Octera_info
https://drive.google.com/file/d/1GmClJGwUizR6h134u1b_r1shcvCa7okN/edit,Neutro_info
https://www.oathprotocol.com/files/OATH-Whitepaper-EN.pdf,OATH Protocol
https://admin.coin-island.com/files/white_paper/Coinisland_White_Paper_en.pdf,Coin Island Air_info
https://ico.rasputinmansion.com/downloads/roc_wpV1.0.pdf,ROC2_info
,Menapay
https://harmony.one/whitepaper.pdf,harmony
https://centex.io/s_files/CENTEX_WP_V1_0_3.pdf,CENTEX
https://ito.levolution.io/wp-content/uploads/2019/03/LEV-WP-ENG-1.3.9.pdf,Levolution
https://www.wegen.io/files/Wegen_Whitepaper_V2.5_English.pdf,WeGen
https://www.wegen.io/files/Wegen_Whitepaper_V2.5_English.pdf,WeGen_info
https://gfp-coin.com/pdf/whitepaper_en.pdf,Green Funding Coin_info
https://www.nitrotoken.io/pdf/white-paper-en.pdf,Nitro platform token
https://yanu.io/wp,Yanu_info
https://karus-chain.s3-us-west-2.amazonaws.com/KarusWP_English+v5.1.pdf,Karuschain_info
https://alphanu.io/Alphanu%20EN%20Whitepaper%20Final.pdf,Alphanu
https://op-mach-bucket.s3.ap-northeast-2.amazonaws.com/whitepaper/white_paper_eng_2.04.pdf,MACH Project
https://gexan.io/assets/theme/Gexan_whitepaper_ENG.pdf,GEXAN
https://trpcoin.com/img_up/shop_pds/turnple/design/pdf/trpebusdup.pdf,turnple_info
https://www.emjac.io/assets/docs/emjac_wp-english.pdf,Emjac
https://www.vectorium.co/wp-content/uploads/2019/07/Vectorium-Whitepaper.pdf,Vectorium Plus_info
https://drive.google.com/file/d/1GMshichkQEjbPtRuyy4wh7GgFlySio3m/view,Tron Game Global_info
https://digipharm.ch/docs/DigipharmWP.pdf,Digipharm_info
https://nesten.io/Document/WP_en.pdf,Nesten_info
,Rebglo_info
https://mintmine.io/wp-content/uploads/2020/02/MintMine_Whitepaper.pdf,MintMine
https://smarttradeico.io/stc-wp.pdf,Smart Trade Coin
https://axel.network/wp-content/uploads/2019/07/AXEL-White-Paper-v2.0-English.pdf,Axel
https://www.celer.network/doc/CelerNetwork-Whitepaper.pdf,Celer Network_info
https://verasity.io/documents/verasity_whitepaper_eng.pdf,Verasity
https://socialgood-foundation.com/whitepaper,SocialGood
https://adabsolutions.com/docs/wp/en_wp.pdf,Adab Solutions_info
https://wolfs.group/wp-content/uploads/2019/12/Wolfs-Group-Whitepaper_EN.pdf,Wolfs Group
https://www.opiria.io/static/docs/Opiria-PDATA-Whitepaper.pdf,PDATA_info
https://www.zeux.tech/assets/PDF/ZEUX-White-paper-Eng.pdf,Zeux
